"","id","ageGrp","sex","maritalStat","province","popCenter","eduLevel","feelRushed","extraTime","durSleep","durMealPrep","durEating","durAlone","durDriving","durWork","durShoolSite","durSchoolOnline","durStudy","MRW_20","MRW_30","MRW_40","worked12m","workedWeek","enrollStat","dailyTexts","timeSlowDown","timeWorkaholic","timeNotFamFriends","timeWantAlone","province_char","maritalStat_char","eduLevel_char","isFeelRushed"
"13820",23819,5,1,6,24,2,1,2,6,480,55,65,1245,0,0,0,0,0,NA,2,2,2,2,NA,1,2,2,2,2,"QC","Single, never married","Less than high school dimploma or its equivalent",1
"13821",23820,5,1,2,59,1,7,4,6,550,85,90,700,0,0,0,0,0,NA,2,1,1,2,NA,8,2,2,2,2,"BC","Living common-law","University certificate, diploma, degree above the BA level",0
"13822",23821,3,2,6,46,2,6,1,6,690,0,30,270,0,0,0,0,0,NA,NA,NA,1,1,NA,4,2,1,2,2,"MB","Single, never married","Bachelor's degree",1
"13823",23822,2,1,2,24,1,1,1,3,590,60,90,10,90,0,0,0,0,NA,NA,NA,1,1,NA,1,2,1,1,2,"QC","Living common-law","Less than high school dimploma or its equivalent",1
"13824",23823,5,1,1,35,1,4,1,4,450,0,100,20,20,0,0,0,0,NA,NA,NA,1,1,2,6,2,1,2,2,"ON","Married","College, CEGEP, or other non-university certificate or dimploma",1
"13825",23824,5,1,1,24,1,6,4,6,585,60,0,1440,0,0,0,0,0,NA,2,2,2,2,NA,1,2,2,2,2,"QC","Married","Bachelor's degree",0
"13826",23825,5,2,6,59,1,7,1,6,480,75,135,840,165,420,0,0,0,NA,NA,NA,1,1,1,1,2,1,2,2,"BC","Single, never married","University certificate, diploma, degree above the BA level",1
"13827",23826,6,1,1,47,1,6,5,5,445,120,30,380,45,0,0,0,0,NA,2,2,2,2,NA,1,1,2,2,2,"SK","Married","Bachelor's degree",0
"13828",23827,5,2,1,48,1,4,4,6,450,130,25,945,45,0,0,0,0,NA,2,1,1,2,NA,8,2,2,2,2,"AB","Married","College, CEGEP, or other non-university certificate or dimploma",0
"13829",23828,2,1,6,48,2,NA,2,3,420,0,100,1330,75,420,110,0,60,NA,NA,NA,1,1,2,3,1,1,2,2,"AB","Single, never married",NA,1
"13830",23829,4,2,6,24,2,4,1,6,420,80,20,695,0,485,0,0,0,NA,NA,NA,1,1,NA,7,2,2,2,2,"QC","Single, never married","College, CEGEP, or other non-university certificate or dimploma",1
"13831",23830,4,1,1,24,1,6,1,6,375,30,105,150,0,615,0,0,0,NA,NA,NA,1,1,NA,8,2,2,2,2,"QC","Married","Bachelor's degree",1
"13832",23831,5,2,5,35,1,6,2,2,660,30,50,1330,20,0,0,0,0,NA,NA,NA,1,1,NA,1,2,2,2,2,"ON","Divorced","Bachelor's degree",1
"13833",23832,2,2,2,47,1,6,1,5,435,0,60,135,75,510,0,0,0,NA,NA,NA,1,1,2,2,1,1,1,2,"SK","Living common-law","Bachelor's degree",1
"13834",23833,1,2,6,35,1,2,1,5,280,40,50,1440,0,0,0,0,770,1,2,1,1,2,1,3,2,1,1,1,"ON","Single, never married","High school diploma or equivalency",1
"13835",23834,1,1,5,10,1,NA,2,2,600,90,90,1020,15,0,0,0,0,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,"NL","Divorced",NA,1
"13836",23835,2,1,2,59,1,1,1,3,525,0,85,655,10,0,0,0,0,NA,NA,NA,1,1,NA,7,2,2,2,2,"BC","Living common-law","Less than high school dimploma or its equivalent",1
"13837",23836,5,1,1,35,1,7,2,3,515,0,80,140,0,0,0,0,0,NA,NA,NA,1,1,NA,8,1,2,2,1,"ON","Married","University certificate, diploma, degree above the BA level",1
"13838",23837,7,1,1,12,2,1,2,1,570,30,45,325,40,0,0,0,0,NA,2,2,2,2,NA,8,1,1,2,2,"NS","Married","Less than high school dimploma or its equivalent",1
"13839",23838,5,1,4,24,1,6,2,6,390,0,70,680,95,480,0,0,0,NA,NA,NA,1,1,NA,1,2,1,2,2,"QC","Separated","Bachelor's degree",1
"13840",23839,5,1,2,35,1,6,2,4,420,90,50,720,160,0,0,0,0,NA,NA,NA,1,1,NA,1,2,2,1,2,"ON","Living common-law","Bachelor's degree",1
