PUMFID,ageGrp,sex,maritalStat,province,popCenter,eduLevel,feelRushed,extraTime,durSleep,durMealPrep,durEating,durAlone,durDriving,durWork,durShoolSite,durSchoolOnline,durStudy,mainStudy,mainJobHunting,mainWork,worked12m,workedWeek,enrollStat,dailyTexts,timeSlowDown,timeWorkaholic,timeNotFamFriends,timeWantAlone,province_fact,maritalStat_fact,eduLevel_fact
16237,5,2,5,46,2,4,2,5,330,90,0,840,50,0,0,0,0,NA,NA,NA,1,1,NA,8,2,2,1,2,MB,Divorced,"College, CEGEP, or other non-university certificate or dimploma"
16238,7,1,1,24,2,1,4,6,360,0,180,250,10,0,0,0,0,NA,2,2,2,2,NA,8,2,1,1,2,QC,Married,Less than high school dimploma or its equivalent
16239,1,1,6,59,2,1,2,2,530,0,105,755,70,0,340,0,80,1,2,2,2,2,1,1,1,2,2,2,BC,"Single, never married",Less than high school dimploma or its equivalent
16240,5,2,3,24,1,2,2,3,510,10,125,1215,0,0,0,0,0,NA,2,2,2,2,NA,1,2,2,2,2,QC,Widowed,High school diploma or equivalency
16241,2,1,6,59,1,2,3,1,660,30,105,1350,0,0,0,0,0,NA,2,2,2,2,NA,7,2,2,1,2,BC,"Single, never married",High school diploma or equivalency
16242,4,2,6,24,1,2,2,4,540,75,210,360,0,0,0,0,0,NA,NA,NA,1,1,NA,1,2,1,2,2,QC,"Single, never married",High school diploma or equivalency
16243,6,2,3,59,2,5,2,5,765,0,75,765,0,0,0,0,0,NA,2,2,2,2,NA,8,2,2,2,2,BC,Widowed,University certificate or dimploma below the bachelor's level
16244,6,2,3,24,1,1,5,4,430,15,155,1085,35,0,0,0,0,NA,2,2,2,2,NA,8,2,2,2,2,QC,Widowed,Less than high school dimploma or its equivalent
16245,6,2,5,35,1,4,5,2,600,0,0,600,0,0,0,0,0,NA,2,2,2,2,NA,8,1,2,2,2,ON,Divorced,"College, CEGEP, or other non-university certificate or dimploma"
16246,4,1,6,48,1,7,4,2,450,60,0,900,60,540,0,0,0,NA,NA,NA,1,1,NA,8,1,2,2,1,AB,"Single, never married","University certificate, diploma, degree above the BA level"
16247,2,2,6,35,1,6,1,1,465,60,20,595,0,490,0,0,0,NA,NA,NA,1,1,NA,5,2,2,2,2,ON,"Single, never married",Bachelor's degree
16248,6,1,5,35,1,7,6,5,340,0,90,1380,0,0,0,0,0,NA,2,2,2,2,NA,1,2,2,2,2,ON,Divorced,"University certificate, diploma, degree above the BA level"
16249,3,2,5,12,1,3,1,6,470,0,20,630,75,450,0,0,0,NA,NA,NA,1,1,NA,1,1,2,1,1,NS,Divorced,Trade certificate or diploma
16250,1,1,6,35,1,5,2,2,500,135,0,765,0,0,0,0,0,1,1,1,1,2,1,7,2,1,1,1,ON,"Single, never married",University certificate or dimploma below the bachelor's level
16251,6,1,5,35,1,2,3,2,660,30,30,1290,0,0,0,0,0,NA,NA,1,1,2,NA,1,2,1,2,2,ON,Divorced,High school diploma or equivalency
16252,3,1,2,24,2,3,1,6,480,15,40,20,85,485,0,0,0,NA,NA,NA,1,1,NA,1,2,2,2,2,QC,Living common-law,Trade certificate or diploma
16253,5,1,1,35,1,6,2,2,480,0,85,560,60,0,0,0,0,NA,NA,1,1,2,NA,1,2,2,2,2,ON,Married,Bachelor's degree
16254,5,1,4,48,1,1,1,NA,360,0,360,960,60,480,0,0,0,NA,NA,NA,1,1,NA,8,2,2,2,2,AB,Separated,Less than high school dimploma or its equivalent
16255,2,1,2,46,1,3,3,4,300,90,0,275,185,0,0,0,0,NA,NA,NA,1,1,NA,3,2,2,1,1,MB,Living common-law,Trade certificate or diploma
16256,3,1,6,10,1,4,1,6,410,0,140,480,265,0,0,0,0,NA,2,2,2,2,NA,1,2,2,2,1,NL,"Single, never married","College, CEGEP, or other non-university certificate or dimploma"
16257,6,2,3,35,1,4,2,2,480,0,165,335,40,0,0,0,0,NA,2,2,2,2,NA,8,2,2,1,1,ON,Widowed,"College, CEGEP, or other non-university certificate or dimploma"
16258,3,1,1,35,1,7,1,6,450,0,50,170,130,510,0,0,0,NA,NA,NA,1,1,NA,3,2,2,2,2,ON,Married,"University certificate, diploma, degree above the BA level"
16259,5,1,1,10,1,4,1,4,465,20,100,585,30,480,0,0,0,NA,NA,NA,1,1,NA,1,2,2,2,1,NL,Married,"College, CEGEP, or other non-university certificate or dimploma"
16260,5,2,1,24,1,2,3,4,660,0,90,1260,95,0,0,0,0,NA,2,2,2,2,NA,8,2,2,2,2,QC,Married,High school diploma or equivalency
16261,5,1,1,35,1,7,2,2,465,0,20,240,100,0,0,0,0,NA,NA,NA,1,1,NA,1,2,1,1,2,ON,Married,"University certificate, diploma, degree above the BA level"
16262,5,1,2,13,2,1,1,6,390,0,45,515,40,0,0,0,0,NA,NA,2,2,2,NA,8,2,1,1,1,NB,Living common-law,Less than high school dimploma or its equivalent
16263,5,1,1,48,2,3,1,6,510,0,45,405,0,0,0,0,0,NA,NA,NA,1,1,NA,1,1,1,1,2,AB,Married,Trade certificate or diploma
16264,6,2,5,11,3,2,2,5,525,30,85,1165,0,0,0,0,0,NA,2,2,2,2,NA,8,2,2,1,2,PEI,Divorced,High school diploma or equivalency
16265,6,2,3,13,1,2,1,3,480,40,140,860,0,0,0,0,0,NA,NA,NA,1,1,NA,8,2,1,2,2,NB,Widowed,High school diploma or equivalency
16266,4,2,6,35,1,4,1,6,540,210,0,70,0,0,0,0,0,NA,2,2,2,2,NA,1,2,2,2,1,ON,"Single, never married","College, CEGEP, or other non-university certificate or dimploma"
16267,1,2,6,35,1,1,1,6,720,0,45,60,0,0,0,0,60,1,1,2,2,2,1,5,1,2,2,2,ON,"Single, never married",Less than high school dimploma or its equivalent
16268,6,2,1,12,2,1,4,5,660,30,430,0,30,0,0,0,0,NA,2,2,2,2,NA,8,2,2,2,2,NS,Married,Less than high school dimploma or its equivalent
