PUMFID,ageGrp,sex,maritalStat,province,popCenter,eduLevel,feelRushed,extraTime,durSleep,durMealPrep,durEating,durAlone,durDriving,durWork,durShoolSite,durSchoolOnline,durStudy,mainStudy,mainJobHunting,mainWork,worked12m,workedWeek,enrollStat,dailyTexts,timeSlowDown,timeWorkaholic,timeNotFamFriends,timeWantAlone
15267,3,2,1,35,2,7,1,6,425,70,40,135,110,455,0,0,0,NA,NA,NA,1,1,NA,1,2,2,1,1
15268,4,1,1,10,2,1,1,5,670,0,145,1095,0,0,0,0,0,NA,2,2,2,2,NA,8,1,1,2,2
15269,4,2,1,46,1,6,1,6,600,0,260,90,0,0,0,0,0,NA,2,2,2,2,NA,1,2,2,1,1
15270,3,2,1,24,1,1,1,1,710,0,0,70,0,0,0,0,0,NA,NA,NA,1,1,NA,1,2,2,2,2
15271,7,2,3,47,2,6,3,6,420,30,40,1290,0,0,0,0,0,NA,2,2,2,2,NA,8,2,1,1,2
15272,7,1,3,46,1,7,6,6,600,120,60,1440,0,0,0,0,0,NA,2,2,2,2,NA,1,2,2,2,2
15273,7,1,1,35,2,1,6,6,450,120,30,0,0,0,0,0,0,NA,2,2,2,2,NA,8,2,1,2,2
15274,5,1,1,12,1,7,2,2,390,40,20,40,120,465,0,0,0,NA,NA,NA,1,1,NA,1,2,2,2,2
15275,2,1,2,11,3,2,2,4,525,0,0,495,0,0,0,0,0,NA,NA,NA,1,1,NA,5,2,1,1,2
15276,6,2,6,24,1,2,3,6,570,20,15,1000,45,0,0,0,0,NA,2,2,2,2,NA,8,2,2,2,2
15277,6,2,1,48,2,2,4,6,540,10,50,210,0,0,0,0,0,NA,2,2,2,2,NA,8,2,2,2,1
15278,4,2,6,47,1,2,3,5,420,15,20,575,50,555,0,0,0,NA,NA,NA,1,1,NA,3,2,1,1,2
15279,2,2,1,59,1,7,1,5,600,0,45,105,0,0,270,0,75,2,2,2,2,2,2,1,2,1,2,1
15280,2,1,1,12,1,3,6,3,585,0,90,600,215,370,0,0,0,NA,NA,NA,1,1,NA,1,2,1,2,2
15281,6,2,5,48,1,NA,3,6,420,0,0,1440,0,0,0,0,0,NA,2,1,1,2,NA,1,2,2,2,2
15282,1,1,6,35,1,3,1,4,575,0,0,1440,20,580,0,0,0,NA,NA,NA,1,1,NA,5,1,1,1,2
15283,5,2,1,59,2,2,3,2,465,45,30,160,0,0,0,0,0,NA,NA,NA,1,1,NA,1,2,2,2,2
15284,5,2,1,12,1,2,4,3,419,60,180,360,60,300,0,0,0,NA,NA,NA,1,1,NA,1,1,2,2,2
15285,5,2,1,12,2,2,2,6,540,0,120,0,0,0,0,0,0,NA,NA,NA,1,1,NA,3,2,2,2,2
15286,2,1,6,47,1,6,2,3,540,110,15,1195,75,0,0,0,0,NA,NA,1,1,2,NA,7,2,2,1,2
15287,5,2,1,59,1,5,4,6,510,165,75,210,45,0,0,0,0,NA,2,2,2,2,NA,1,2,2,2,1
15288,2,2,6,10,1,6,2,6,550,0,0,240,0,440,0,0,0,NA,NA,NA,1,1,NA,3,2,2,1,2
15289,3,1,1,13,2,6,2,1,435,0,120,350,90,0,0,0,0,NA,NA,NA,1,1,NA,1,2,2,2,1
15290,5,2,2,24,1,4,3,2,720,30,140,115,20,0,0,0,0,NA,2,2,2,2,NA,8,2,2,2,2
15291,5,2,1,24,2,3,2,6,480,45,45,75,45,520,0,0,0,NA,NA,NA,1,1,NA,1,2,2,1,2
15292,1,1,6,35,1,2,5,4,435,40,60,850,10,485,0,0,0,NA,NA,NA,1,1,1,1,2,2,2,2
15293,4,1,1,59,1,1,1,6,420,0,0,630,60,810,0,0,0,NA,NA,NA,1,1,NA,8,1,1,2,1
15294,2,2,2,35,1,7,3,1,315,20,90,480,0,0,145,0,320,1,2,1,1,2,1,1,2,1,2,2
15295,3,1,6,24,1,4,4,1,630,60,55,1440,0,0,0,0,0,NA,2,2,2,2,NA,8,2,2,2,2
15296,4,1,6,35,1,2,5,3,510,0,120,1440,0,0,0,0,0,NA,NA,NA,1,1,NA,1,2,2,1,2
15297,2,2,1,13,2,7,1,5,495,0,60,0,60,540,0,0,0,NA,NA,NA,1,1,NA,1,2,2,1,1
15298,5,1,2,24,2,4,1,6,420,70,150,150,100,0,0,0,0,NA,2,2,2,2,NA,1,2,1,1,1
