PUMFID,AGEGR10,SEX,MARSTAT,PRV,LUC_RST,EHG_ALL,GTU_110,GTU_130,DUR01,DUR05,DUR06,DURS200,DURL313,DUR08,DUR13,DUR14,DUR15,MRW_20,MRW_30,MRW_40,MRW_D40A,MRW_D40B,EDM_02,TST_01,TCS_110,TCS_120,TCS_150,TCS_200
17118,4,1,1,35,1,2.0,2.0,6.0,420,0,80,190,190,485,0,0,0,,,,1,1,,6.0,1.0,2.0,2.0,2.0
17119,7,2,3,24,1,2.0,3.0,6.0,630,0,100,1360,0,0,0,0,0,,2.0,2.0,2,2,,8.0,1.0,2.0,2.0,2.0
17120,4,1,1,46,1,6.0,2.0,4.0,465,60,120,95,70,0,0,0,0,,,,1,1,,2.0,2.0,2.0,1.0,2.0
17121,2,2,2,24,1,6.0,1.0,4.0,430,65,60,145,65,460,0,0,0,,2.0,1.0,1,2,,2.0,2.0,1.0,2.0,2.0
17122,2,2,1,35,1,,1.0,5.0,390,0,30,115,90,480,0,0,0,,,,2,2,,,,,,
17123,2,2,6,10,1,1.0,1.0,5.0,580,60,90,0,0,0,0,0,0,,2.0,2.0,2,2,,1.0,2.0,2.0,2.0,1.0
17124,5,2,1,59,1,5.0,6.0,6.0,510,90,80,830,0,0,0,0,0,,2.0,2.0,2,2,,1.0,2.0,2.0,1.0,2.0
17125,7,1,2,35,1,3.0,6.0,1.0,600,30,15,1440,0,0,0,0,0,,2.0,2.0,2,2,,8.0,2.0,2.0,2.0,2.0
17126,6,2,6,48,1,2.0,6.0,4.0,300,0,270,1290,0,0,0,0,0,,2.0,1.0,1,2,,1.0,2.0,2.0,2.0,2.0
17127,7,2,5,46,1,1.0,1.0,2.0,470,40,155,1035,0,0,0,0,0,,2.0,2.0,2,2,,8.0,2.0,2.0,2.0,2.0
17128,4,2,1,35,1,7.0,1.0,6.0,460,30,30,1335,95,490,0,0,0,,,,1,1,,1.0,1.0,2.0,1.0,1.0
17129,5,2,5,24,1,4.0,1.0,3.0,420,105,0,900,30,0,0,0,0,,,,1,1,,1.0,1.0,1.0,1.0,2.0
17130,5,2,2,24,1,3.0,1.0,6.0,675,0,0,750,60,570,0,0,0,,,,1,1,,8.0,2.0,1.0,1.0,2.0
17131,6,2,3,46,1,1.0,4.0,1.0,510,420,60,1440,0,0,0,0,0,,2.0,2.0,2,2,,1.0,1.0,1.0,2.0,2.0
17132,6,2,1,35,2,4.0,3.0,6.0,450,90,180,240,0,0,0,0,0,,2.0,2.0,2,2,,1.0,2.0,2.0,1.0,2.0
17133,5,1,6,24,1,1.0,6.0,6.0,600,90,60,1440,0,0,0,0,0,,2.0,2.0,2,2,,8.0,2.0,2.0,2.0,2.0
17134,5,1,6,35,1,1.0,2.0,6.0,1000,120,60,1200,0,0,0,0,0,,,,1,1,,8.0,2.0,2.0,2.0,1.0
17135,2,2,6,35,1,4.0,5.0,2.0,480,0,0,1170,0,0,0,0,0,,,,1,1,,1.0,2.0,2.0,2.0,2.0
17136,5,1,1,24,2,4.0,5.0,6.0,70,235,50,595,10,0,0,0,0,,2.0,1.0,1,2,,8.0,2.0,2.0,2.0,2.0
17137,6,1,5,12,1,4.0,2.0,4.0,595,20,30,890,115,480,0,0,0,,,,1,1,,8.0,2.0,2.0,2.0,2.0
17138,2,1,1,35,1,4.0,1.0,2.0,420,60,30,300,90,510,0,0,0,,,,1,1,,1.0,2.0,2.0,1.0,2.0
17139,6,1,5,48,1,3.0,3.0,1.0,365,30,0,1440,60,0,0,0,0,,,2.0,2,2,,8.0,2.0,2.0,1.0,2.0
17140,4,2,5,35,1,4.0,1.0,4.0,480,0,30,810,55,510,0,0,0,,,,1,1,,5.0,1.0,1.0,1.0,1.0
17141,6,1,3,35,2,1.0,1.0,6.0,720,120,0,810,0,0,0,0,0,,2.0,2.0,2,2,,8.0,2.0,2.0,2.0,2.0
17142,6,1,1,35,1,4.0,4.0,3.0,480,0,115,260,100,0,0,0,0,,2.0,2.0,2,2,,8.0,2.0,2.0,2.0,2.0
17143,3,1,1,59,2,6.0,2.0,1.0,510,60,60,125,20,60,0,0,0,,2.0,1.0,1,2,,1.0,2.0,2.0,2.0,1.0
17144,7,1,1,35,1,4.0,6.0,6.0,540,170,160,250,55,0,0,0,0,,2.0,2.0,2,2,,1.0,2.0,2.0,2.0,2.0
